subject,body,is_phishing
Hold yourself,Document shared with you. http://secure-update.xyz/login,1
Order Confirmation,Thank you for your order #12345.,0
Order Confirmation,Here is the latest status update on Project Apollo.,0
Heart thus east method,Login immediately. http://password-reset.tk,1
Newsletter Subscription,Thank you for your order #12345.,0
Several nor skill,Confirm your identity. http://alert-now.cf,1
Newsletter Subscription,Your support ticket has been resolved.,0
Support Ticket Response,Thank you for your order #12345.,0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Meeting Reminder,Please review the updated HR policy document.,0
Change single left debate,Banking issue. http://alert-now.cf,1
Attack option various myself account,Security alert. http://secure-update.xyz/login,1
When another meet trip,Unauthorized login. http://password-reset.tk,1
Order Confirmation,Your support ticket has been resolved.,0
Friend place today us street,Document shared with you. http://bank-secure.gq,1
Trip dinner allow possible,Update required. http://confirm-user.ga,1
Skin seem couple,Unauthorized login. http://secure-update.xyz/login,1
Happen five social,Password expires. http://secure-access.ml,1
Source life score drug,Confirm your identity. http://login-security.xyz,1
Former alone case teacher,Confirm your identity. http://login-security.xyz,1
Team Outing,Looking forward to our team outing next Friday!,0
Public crime grow morning create,Security alert. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Too well thought,Reset your password. http://alert-now.cf,1
Career pattern then recognize newspaper,Click here to update. http://bank-secure.gq,1
Give child Mrs,Click here to update. http://secure-update.xyz/login,1
Language expert,Payment declined. http://bank-secure.gq,1
Project Status,Thank you for your order #12345.,0
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Can fire support,Banking issue. http://doc-share.xyz/file.pdf,1
Senior long carry practice,Verify your account. http://password-reset.tk,1
North hand enough security,Verify your account. http://bank-secure.gq,1
Condition against stand,Banking issue. http://confirm-user.ga,1
Package Delivery,"Dear customer, please find your invoice attached.",0
International plan,Suspended account. http://secure-access.ml,1
Man tell,Verify your account. http://password-reset.tk,1
Onto police relate theory,Payment declined. http://secure-update.xyz/login,1
Meeting Reminder,Please review the updated HR policy document.,0
Hot avoid positive,Invoice error. http://alert-now.cf,1
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Team Outing,Thanks for subscribing to our newsletter!,0
Team Outing,Looking forward to our team outing next Friday!,0
Book no resource bring seven,Verify your account. http://secure-access.ml,1
Like region financial tough practice,Password expires. http://password-reset.tk,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Thousand artist site election,Verify your account. http://password-reset.tk,1
Machine successful,Click here to update. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Within history social,Suspended account. http://login-security.xyz,1
Meeting Reminder,Thank you for your order #12345.,0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
Order Confirmation,Here is the latest status update on Project Apollo.,0
Package Delivery,Your support ticket has been resolved.,0
Package Delivery,Your support ticket has been resolved.,0
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Score age us message,Password expires. http://bank-secure.gq,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Argue campaign,Document shared with you. http://alert-now.cf,1
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Fast design contain soon camera,Security alert. http://login-security.xyz,1
Sit see deep important,Unauthorized login. http://bank-secure.gq,1
Professional trip,Invoice error. http://alert-now.cf,1
Former popular,Update required. http://secure-update.xyz/login,1
Under building child,Confirm your identity. http://secure-access.ml,1
Full television fact direction,Confirm your identity. http://doc-share.xyz/file.pdf,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
No nice,Update required. http://bank-secure.gq,1
Spring like,Suspended account. http://secure-access.ml,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Yard together,Banking issue. http://bank-secure.gq,1
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Package Delivery,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Package Delivery,Thank you for your order #12345.,0
Newsletter Subscription,Thank you for your order #12345.,0
Memory road fund author,Verify your account. http://bank-secure.gq,1
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Thank you for your order #12345.,0
Reach address administration,Security alert. http://alert-now.cf,1
Mother tax simply,Urgent action required. http://secure-access.ml,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Newsletter Subscription,Thank you for your order #12345.,0
Allow mention against doctor,Urgent action required. http://secure-access.ml,1
Team Outing,Thank you for your order #12345.,0
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Your support ticket has been resolved.,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
High professional company parent sort,Unauthorized login. http://alert-now.cf,1
Your Monthly Invoice,Please review the updated HR policy document.,0
Material no people floor million,Verify your account. http://alert-now.cf,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Upon leg,Security alert. http://alert-now.cf,1
Guess relate skill represent,Click here to update. http://doc-share.xyz/file.pdf,1
Field together message decide garden,Verify your account. http://secure-access.ml,1
Keep western,Verify your account. http://confirm-user.ga,1
Your Monthly Invoice,Your support ticket has been resolved.,0
Any response past,Click here to update. http://login-security.xyz,1
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Deal enter matter,Invoice error. http://doc-share.xyz/file.pdf,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
High true knowledge reflect either,Password expires. http://secure-access.ml,1
Project Status,Looking forward to our team outing next Friday!,0
Table crime back on,Login immediately. http://login-security.xyz,1
Package Delivery,Thanks for subscribing to our newsletter!,0
Know near he,Reset your password. http://confirm-user.ga,1
Project Status,"Dear customer, please find your invoice attached.",0
Your Monthly Invoice,Your support ticket has been resolved.,0
Provide event in represent,Login immediately. http://doc-share.xyz/file.pdf,1
When we star,Unauthorized login. http://login-security.xyz,1
Color say item,Update required. http://password-reset.tk,1
Can road week rest,Urgent action required. http://login-security.xyz,1
Face out fine mind,Document shared with you. http://secure-access.ml,1
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Wish director attorney at,Unauthorized login. http://doc-share.xyz/file.pdf,1
Beyond dinner federal heavy,Password expires. http://password-reset.tk,1
Fill become food,Update required. http://secure-update.xyz/login,1
Training mission,Banking issue. http://password-reset.tk,1
Trade American argue this drop,Login immediately. http://alert-now.cf,1
Experience consumer different,Banking issue. http://password-reset.tk,1
Charge leader,Payment declined. http://secure-update.xyz/login,1
Team Outing,Your support ticket has been resolved.,0
Unit down claim cover response,Confirm your identity. http://secure-access.ml,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Appear soldier fly lay better,Banking issue. http://login-security.xyz,1
Size carry,Login immediately. http://alert-now.cf,1
Package Delivery,Thank you for your order #12345.,0
Package Delivery,Looking forward to our team outing next Friday!,0
Fish wear,Login immediately. http://secure-update.xyz/login,1
Dream ahead bring,Update required. http://confirm-user.ga,1
Myself data,Suspended account. http://secure-access.ml,1
Somebody training meet sister office,Update required. http://secure-access.ml,1
Today huge throughout piece,Security alert. http://password-reset.tk,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Color mention,Payment declined. http://bank-secure.gq,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Current away,Security alert. http://alert-now.cf,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Next become lay,Banking issue. http://password-reset.tk,1
Team Outing,Your support ticket has been resolved.,0
Project Status,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,Thank you for your order #12345.,0
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
For customer interest hit,Urgent action required. http://secure-access.ml,1
Support Ticket Response,Please review the updated HR policy document.,0
Research charge,Password expires. http://alert-now.cf,1
More he rich,Invoice error. http://login-security.xyz,1
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Blue look but summer,Click here to update. http://alert-now.cf,1
Turn front,Suspended account. http://confirm-user.ga,1
Involve trip describe general,Verify your account. http://doc-share.xyz/file.pdf,1
Nothing choose few,Suspended account. http://bank-secure.gq,1
Class describe center black although,Banking issue. http://alert-now.cf,1
Himself identify executive,Update required. http://bank-secure.gq,1
Meeting Reminder,Please review the updated HR policy document.,0
Close near style material,Payment declined. http://alert-now.cf,1
Package Delivery,Your support ticket has been resolved.,0
HR Policy Update,Thank you for your order #12345.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Project Status,Your support ticket has been resolved.,0
Even similar its despite,Verify your account. http://confirm-user.ga,1
Package Delivery,Your support ticket has been resolved.,0
Project Status,Thank you for your order #12345.,0
Doctor much south,Confirm your identity. http://confirm-user.ga,1
Single whom tax certainly,Verify your account. http://bank-secure.gq,1
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Arrive development board,Login immediately. http://doc-share.xyz/file.pdf,1
Since type sister which,Login immediately. http://alert-now.cf,1
Order Confirmation,"Dear customer, please find your invoice attached.",0
Support Ticket Response,Please review the updated HR policy document.,0
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Support Ticket Response,Your support ticket has been resolved.,0
While either hope,Login immediately. http://secure-update.xyz/login,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Decision cause speak fill,Payment declined. http://login-security.xyz,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
New middle,Verify your account. http://bank-secure.gq,1
With deep radio thousand,Suspended account. http://login-security.xyz,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Avoid front try Mrs learn,Login immediately. http://alert-now.cf,1
Mind next mission,Reset your password. http://password-reset.tk,1
Vote something key better,Payment declined. http://doc-share.xyz/file.pdf,1
Fine mind add low,Suspended account. http://alert-now.cf,1
Building project,Unauthorized login. http://secure-access.ml,1
Fear collection test,Login immediately. http://doc-share.xyz/file.pdf,1
Order Confirmation,Your support ticket has been resolved.,0
Product girl color serious,Banking issue. http://doc-share.xyz/file.pdf,1
Include attention budget center history,Update required. http://password-reset.tk,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Yourself include store fact,Invoice error. http://secure-access.ml,1
Support Ticket Response,Please review the updated HR policy document.,0
Anyone court receive represent affect,Login immediately. http://secure-update.xyz/login,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
HR Policy Update,Here is the latest status update on Project Apollo.,0
Week season,Reset your password. http://doc-share.xyz/file.pdf,1
Popular fight,Banking issue. http://secure-update.xyz/login,1
Meeting Reminder,Please review the updated HR policy document.,0
Hotel simply indeed,Invoice error. http://secure-update.xyz/login,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Meeting including,Document shared with you. http://login-security.xyz,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Maintain language hold face,Update required. http://secure-access.ml,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Package Delivery,Looking forward to our team outing next Friday!,0
Team Outing,"Dear customer, please find your invoice attached.",0
Remember school,Reset your password. http://alert-now.cf,1
Package Delivery,Thank you for your order #12345.,0
Project Status,"Dear customer, please find your invoice attached.",0
HR Policy Update,Looking forward to our team outing next Friday!,0
Available sister crime,Verify your account. http://confirm-user.ga,1
Newsletter Subscription,Your support ticket has been resolved.,0
Order Confirmation,Your support ticket has been resolved.,0
Maintain wrong father short,Document shared with you. http://bank-secure.gq,1
Successful image east cultural,Invoice error. http://doc-share.xyz/file.pdf,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Thought trip,Document shared with you. http://bank-secure.gq,1
Fast their claim establish point,Unauthorized login. http://confirm-user.ga,1
Collection administration produce toward rather,Click here to update. http://secure-access.ml,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Continue notice,Banking issue. http://alert-now.cf,1
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Institution approach,Invoice error. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Team Outing,Your support ticket has been resolved.,0
Wear coach must security,Suspended account. http://confirm-user.ga,1
Order Confirmation,Your support ticket has been resolved.,0
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Arrive agreement indicate,Unauthorized login. http://doc-share.xyz/file.pdf,1
Support Ticket Response,Reminder: Submit your timesheet by end of day Friday.,0
Represent some those movie,Verify your account. http://bank-secure.gq,1
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Your watch,Banking issue. http://secure-access.ml,1
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Your Monthly Invoice,Thank you for your order #12345.,0
Experience class particular summer,Confirm your identity. http://secure-update.xyz/login,1
Remain whose,Update required. http://password-reset.tk,1
Listen before floor,Click here to update. http://confirm-user.ga,1
HR Policy Update,Please review the updated HR policy document.,0
Up yard method step,Unauthorized login. http://doc-share.xyz/file.pdf,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Meeting Reminder,Thank you for your order #12345.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Attack room say citizen,Update required. http://doc-share.xyz/file.pdf,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Strong like sound body structure,Security alert. http://confirm-user.ga,1
Meeting Reminder,Please review the updated HR policy document.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Central anything six,Reset your password. http://secure-access.ml,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
HR Policy Update,Your support ticket has been resolved.,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Main gas,Banking issue. http://confirm-user.ga,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Big very glass people,Urgent action required. http://alert-now.cf,1
Thing ready half,Confirm your identity. http://bank-secure.gq,1
Project Status,Looking forward to our team outing next Friday!,0
Security likely ahead,Login immediately. http://doc-share.xyz/file.pdf,1
Project Status,Thank you for your order #12345.,0
Anyone surface seven remain,Update required. http://password-reset.tk,1
Economic investment career happen,Reset your password. http://doc-share.xyz/file.pdf,1
Third close shake,Click here to update. http://alert-now.cf,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Your support ticket has been resolved.,0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Only audience I,Document shared with you. http://doc-share.xyz/file.pdf,1
Professor specific cell career,Suspended account. http://secure-access.ml,1
American discuss tend candidate,Confirm your identity. http://password-reset.tk,1
Order Confirmation,"Dear customer, please find your invoice attached.",0
Order Confirmation,Please review the updated HR policy document.,0
Can level suddenly career,Security alert. http://password-reset.tk,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Along image old true,Unauthorized login. http://secure-update.xyz/login,1
Her finally character every heavy,Login immediately. http://secure-update.xyz/login,1
Area enjoy newspaper grow,Update required. http://login-security.xyz,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Beat quality because it seek,Click here to update. http://confirm-user.ga,1
Apply fact,Update required. http://secure-update.xyz/login,1
Ground executive medical soldier owner,Click here to update. http://alert-now.cf,1
Order Confirmation,Your support ticket has been resolved.,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Draw financial,Urgent action required. http://bank-secure.gq,1
Support bar air PM today,Invoice error. http://secure-access.ml,1
Strategy game conference,Login immediately. http://login-security.xyz,1
Particularly current inside ball beyond,Login immediately. http://password-reset.tk,1
Congress detail,Login immediately. http://alert-now.cf,1
Employee Republican business,Payment declined. http://bank-secure.gq,1
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Stay receive best other,Click here to update. http://login-security.xyz,1
Project Status,Please review the updated HR policy document.,0
Wall participant should near community,Security alert. http://secure-access.ml,1
Order Confirmation,Looking forward to our team outing next Friday!,0
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Central station bank usually certainly,Document shared with you. http://password-reset.tk,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Strategy always,Update required. http://doc-share.xyz/file.pdf,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Package Delivery,Looking forward to our team outing next Friday!,0
Church environment,Urgent action required. http://secure-update.xyz/login,1
Seven as great television open,Invoice error. http://secure-update.xyz/login,1
Package Delivery,"Dear customer, please find your invoice attached.",0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Right appear easy,Suspended account. http://bank-secure.gq,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Environmental its month knowledge product,Document shared with you. http://bank-secure.gq,1
Teach foot which,Update required. http://login-security.xyz,1
Project Status,Looking forward to our team outing next Friday!,0
Newsletter Subscription,Your support ticket has been resolved.,0
Government than kind boy,Suspended account. http://confirm-user.ga,1
If number eye,Update required. http://login-security.xyz,1
Trade teacher,Invoice error. http://alert-now.cf,1
Bar maybe,Banking issue. http://doc-share.xyz/file.pdf,1
Better pattern everybody,Document shared with you. http://secure-access.ml,1
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Model play table should,Suspended account. http://secure-access.ml,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Support Ticket Response,Thank you for your order #12345.,0
HR Policy Update,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Sound major two security check,Document shared with you. http://secure-access.ml,1
Decision population himself,Suspended account. http://secure-update.xyz/login,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Quickly reveal write force,Suspended account. http://secure-access.ml,1
HR Policy Update,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Support Ticket Response,Thank you for your order #12345.,0
Garden bag sure among,Login immediately. http://doc-share.xyz/file.pdf,1
Bar truth,Reset your password. http://login-security.xyz,1
Interest capital win without,Banking issue. http://alert-now.cf,1
Choice need manager,Urgent action required. http://password-reset.tk,1
Your Monthly Invoice,Your support ticket has been resolved.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Avoid right although,Confirm your identity. http://secure-access.ml,1
Appear maybe be,Click here to update. http://login-security.xyz,1
Agreement help nature enter,Confirm your identity. http://login-security.xyz,1
Team Outing,Your support ticket has been resolved.,0
Project Status,Looking forward to our team outing next Friday!,0
Style day court,Urgent action required. http://doc-share.xyz/file.pdf,1
Themselves say base,Login immediately. http://secure-access.ml,1
Become major record,Payment declined. http://confirm-user.ga,1
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Minute gun hot anything hotel,Unauthorized login. http://secure-update.xyz/login,1
Project Status,Looking forward to our team outing next Friday!,0
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Effect color with,Update required. http://confirm-user.ga,1
Whatever grow memory boy,Security alert. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Team Outing,Please review the updated HR policy document.,0
Project Status,Here is the latest status update on Project Apollo.,0
I detail contain special,Unauthorized login. http://alert-now.cf,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
Leg population leader will ok,Urgent action required. http://secure-access.ml,1
Save doctor carry five,Verify your account. http://login-security.xyz,1
Threat arrive give religious,Urgent action required. http://confirm-user.ga,1
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Cultural method single cause themselves,Unauthorized login. http://doc-share.xyz/file.pdf,1
Account fire pretty,Invoice error. http://confirm-user.ga,1
Team Outing,"Dear customer, please find your invoice attached.",0
Themselves half boy need,Invoice error. http://doc-share.xyz/file.pdf,1
Option if,Banking issue. http://secure-access.ml,1
Theory picture point catch store,Security alert. http://login-security.xyz,1
Choice bad,Urgent action required. http://doc-share.xyz/file.pdf,1
Early finish hospital,Confirm your identity. http://password-reset.tk,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Rise represent man stuff,Click here to update. http://secure-access.ml,1
Company use sell federal,Verify your account. http://bank-secure.gq,1
View stuff program behind,Update required. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Your support ticket has been resolved.,0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Provide plan continue,Banking issue. http://doc-share.xyz/file.pdf,1
Although wind compare model,Update required. http://confirm-user.ga,1
Support Ticket Response,Please review the updated HR policy document.,0
Sense hand might agreement,Unauthorized login. http://confirm-user.ga,1
Now agree late forward change,Security alert. http://bank-secure.gq,1
Team Outing,Thanks for subscribing to our newsletter!,0
Front policy citizen look hour,Login immediately. http://bank-secure.gq,1
Meeting Reminder,Please review the updated HR policy document.,0
Issue Congress,Payment declined. http://confirm-user.ga,1
Team Outing,Please review the updated HR policy document.,0
Newsletter Subscription,Your support ticket has been resolved.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Start risk large wish,Login immediately. http://bank-secure.gq,1
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Project Status,Your support ticket has been resolved.,0
HR Policy Update,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Nothing create rate big,Update required. http://password-reset.tk,1
Order Confirmation,Thank you for your order #12345.,0
Police seek final,Click here to update. http://doc-share.xyz/file.pdf,1
Sort across partner foreign security,Confirm your identity. http://secure-access.ml,1
Watch watch want least,Confirm your identity. http://alert-now.cf,1
Answer network,Document shared with you. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Finally know energy,Password expires. http://bank-secure.gq,1
HR Policy Update,Please review the updated HR policy document.,0
HR Policy Update,Looking forward to our team outing next Friday!,0
Company bank person investment girl,Confirm your identity. http://secure-access.ml,1
Your Monthly Invoice,Please review the updated HR policy document.,0
Project Status,Please review the updated HR policy document.,0
Student hot actually guess,Unauthorized login. http://secure-access.ml,1
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Senior cell,Document shared with you. http://bank-secure.gq,1
Realize political during too information,Login immediately. http://bank-secure.gq,1
Up board region,Document shared with you. http://alert-now.cf,1
Form such firm,Suspended account. http://login-security.xyz,1
Meeting Reminder,Thank you for your order #12345.,0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
HR Policy Update,Thanks for subscribing to our newsletter!,0
Democratic it standard,Banking issue. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
HR Policy Update,Thank you for your order #12345.,0
Sit recent,Urgent action required. http://password-reset.tk,1
Trade well amount seven,Document shared with you. http://secure-access.ml,1
Drug heavy establish artist,Payment declined. http://password-reset.tk,1
Team Outing,"Dear customer, please find your invoice attached.",0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Order Confirmation,"Dear customer, please find your invoice attached.",0
College quickly drop event suddenly,Urgent action required. http://password-reset.tk,1
Package Delivery,Looking forward to our team outing next Friday!,0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Significant better each deal newspaper,Invoice error. http://alert-now.cf,1
Late want mother line,Document shared with you. http://bank-secure.gq,1
Begin arm street light,Urgent action required. http://confirm-user.ga,1
Join court blue ever community,Update required. http://confirm-user.ga,1
State consider,Payment declined. http://secure-update.xyz/login,1
Team Outing,"Dear customer, please find your invoice attached.",0
Sound address whose music pay,Verify your account. http://alert-now.cf,1
Light next run,Password expires. http://bank-secure.gq,1
Team Outing,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,Your support ticket has been resolved.,0
Few discover low,Payment declined. http://doc-share.xyz/file.pdf,1
View space ahead poor,Click here to update. http://doc-share.xyz/file.pdf,1
Package Delivery,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,Thanks for subscribing to our newsletter!,0
Fund again magazine,Security alert. http://alert-now.cf,1
Meeting Reminder,Please review the updated HR policy document.,0
HR Policy Update,Thank you for your order #12345.,0
Your Monthly Invoice,Thank you for your order #12345.,0
Act manager,Document shared with you. http://doc-share.xyz/file.pdf,1
Meeting Reminder,Your support ticket has been resolved.,0
Both institution federal,Urgent action required. http://bank-secure.gq,1
Two oil,Invoice error. http://confirm-user.ga,1
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Theory hot me enter,Unauthorized login. http://alert-now.cf,1
Situation bank enter education bag,Unauthorized login. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Please review the updated HR policy document.,0
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Project Status,"Dear customer, please find your invoice attached.",0
Plant cause spring make,Banking issue. http://login-security.xyz,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,Please review the updated HR policy document.,0
Land stand,Payment declined. http://alert-now.cf,1
Yes pay miss conference,Unauthorized login. http://login-security.xyz,1
Wrong task,Banking issue. http://password-reset.tk,1
She another,Unauthorized login. http://bank-secure.gq,1
Newsletter Subscription,Please review the updated HR policy document.,0
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
HR Policy Update,Thanks for subscribing to our newsletter!,0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Notice everything,Invoice error. http://bank-secure.gq,1
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Let begin case,Suspended account. http://bank-secure.gq,1
Meeting Reminder,Please review the updated HR policy document.,0
We such work,Suspended account. http://login-security.xyz,1
